Sr. No.,Date,Region,Confirmed Cases,Active Cases,Discharged,Deaths
859,24-06-2022,Maharashtra,7950240,24867,7777480,147893
860,24-06-2022,Manipur,137251,7,135124,2120
861,24-06-2022,Meghalaya,93878,8,92276,1594
862,24-06-2022,Mizoram,228805,118,227985,702
863,24-06-2022,Nagaland,35504,1,34742,761
864,24-06-2022,Odisha,1289068,407,1279535,9126
865,24-06-2022,Puducherry,166167,168,164037,1962
866,24-06-2022,Punjab,761734,712,743259,17763
867,24-06-2022,Rajasthan,1287554,751,1277242,9561
868,24-06-2022,Sikkim,39200,14,38733,453
869,24-06-2022,Tamil Nadu,3464131,5174,3420931,38026
870,24-06-2022,Telangana,797632,3048,790473,4111
871,24-06-2022,Tripura,100894,4,99967,923
872,24-06-2022,Uttar Pradesh,2086765,3423,2059810,23532
873,24-06-2022,Uttarakhand,438403,642,430066,7695
874,24-06-2022,West Bengal,2023587,3020,1999355,21212
875,24-06-2022,World,540049106,,,6324324
876,25-06-2022,India,43378234,91769,42761481,524984
877,25-06-2022,Andaman and Nicobar Islands,10119,33,9957,129
878,25-06-2022,Andhra Pradesh,2320780,462,2305587,14731
879,25-06-2022,Arunachal Pradesh,64516,5,64215,296
880,25-06-2022,Assam,724508,217,716303,7988
881,25-06-2022,Bihar,831762,576,818929,12257
882,25-06-2022,Chandigarh,93378,458,91755,1165
883,25-06-2022,Chhattisgarh,1153552,643,1138873,14036
884,25-06-2022,Dadra and Nagar Haveli and Daman and Diu,11460,12,11444,4
885,25-06-2022,Delhi,1928841,5507,1897091,26243
886,25-06-2022,Goa,247820,926,243061,3833
887,25-06-2022,Gujarat,1229289,2098,1216245,10946
888,25-06-2022,Haryana,1012944,3099,999223,10622
889,25-06-2022,Himachal Pradesh,285642,259,281243,4140
890,25-06-2022,Jammu and Kashmir,454677,250,449672,4755
891,25-06-2022,Jharkhand,435649,177,430153,5319
892,25-06-2022,Karnataka,3964449,5180,3919155,40114
893,25-06-2022,Kerala,6616588,26827,6519816,69945
894,25-06-2022,Ladakh,28348,41,28079,228
895,25-06-2022,Lakshadweep,11405,3,11350,52
896,25-06-2022,Madhya Pradesh,1043899,482,1032677,10740
897,25-06-2022,Maharashtra,7954445,25317,7781232,147896
898,25-06-2022,Manipur,137251,7,135124,2120
899,25-06-2022,Meghalaya,93886,15,92277,1594
900,25-06-2022,Mizoram,228840,142,227996,702
901,25-06-2022,Nagaland,35505,2,34742,761
902,25-06-2022,Odisha,1289129,401,1279602,9126
903,25-06-2022,Puducherry,166209,182,164065,1962
904,25-06-2022,Punjab,761884,752,743368,17764
905,25-06-2022,Rajasthan,1287674,785,1277327,9562
906,25-06-2022,Sikkim,39203,14,38736,453
907,25-06-2022,Tamil Nadu,3465490,5912,3421552,38026
908,25-06-2022,Telangana,798125,3322,790692,4111
909,25-06-2022,Tripura,100895,5,99967,923
910,25-06-2022,Uttar Pradesh,2087385,3536,2060317,23532
911,25-06-2022,Uttarakhand,438443,642,430106,7695
912,25-06-2022,West Bengal,2024244,3480,1999550,21214
913,25-06-2022,World,540540410,,,6325105
914,26-06-2022,India,43389973,92576,42772398,524999
915,26-06-2022,Andaman and Nicobar Islands,10126,37,9960,129
916,26-06-2022,Andhra Pradesh,2320882,518,2305633,14731
917,26-06-2022,Arunachal Pradesh,64516,4,64216,296
918,26-06-2022,Assam,724551,240,716323,7988
919,26-06-2022,Bihar,831917,639,819021,12257
920,26-06-2022,Chandigarh,93476,492,91819,1165
921,26-06-2022,Chhattisgarh,1153644,640,1138968,14036
922,26-06-2022,Dadra and Nagar Haveli and Daman and Diu,11460,9,11447,4
923,26-06-2022,Delhi,1929507,4717,1898541,26249
924,26-06-2022,Goa,247929,896,243200,3833
925,26-06-2022,Gujarat,1229708,2299,1216463,10946
926,26-06-2022,Haryana,1013454,3125,999707,10622
927,26-06-2022,Himachal Pradesh,285705,292,281272,4141
928,26-06-2022,Jammu and Kashmir,454742,294,449693,4755
929,26-06-2022,Jharkhand,435702,220,430162,5320
930,26-06-2022,Karnataka,3964702,4822,3919766,40114
931,26-06-2022,Kerala,6620686,27891,6522850,69945
932,26-06-2022,Ladakh,28353,43,28082,228
933,26-06-2022,Lakshadweep,11405,3,11350,52
934,26-06-2022,Madhya Pradesh,1043960,481,1032739,10740
935,26-06-2022,Maharashtra,7956173,24333,7783940,147900
936,26-06-2022,Manipur,137254,10,135124,2120
937,26-06-2022,Meghalaya,93897,25,92278,1594
938,26-06-2022,Mizoram,228895,173,228020,702
939,26-06-2022,Nagaland,35505,2,34742,761
940,26-06-2022,Odisha,1289191,416,1279649,9126
941,26-06-2022,Puducherry,166263,216,164085,1962
942,26-06-2022,Punjab,762041,831,743446,17764
943,26-06-2022,Rajasthan,1287796,822,1277411,9563
944,26-06-2022,Sikkim,39205,15,38737,453
945,26-06-2022,Tamil Nadu,3466872,6677,3422169,38026
946,26-06-2022,Telangana,798621,3613,790897,4111
947,26-06-2022,Tripura,100895,5,99967,923
948,26-06-2022,Uttar Pradesh,2087964,3607,2060825,23532
949,26-06-2022,Uttarakhand,438497,673,430129,7695
950,26-06-2022,West Bengal,2024479,3496,1999767,21216
951,26-06-2022,World,540740057,,,6325450
952,27-06-2022,India,43407046,94420,42787606,525020
953,27-06-2022,Andaman and Nicobar Islands,10131,37,9965,129
954,27-06-2022,Andhra Pradesh,2320992,576,2305685,14731
955,27-06-2022,Arunachal Pradesh,64516,4,64216,296
956,27-06-2022,Assam,724587,256,716343,7988
957,27-06-2022,Bihar,832059,694,819108,12257
958,27-06-2022,Chandigarh,93552,495,91892,1165
959,27-06-2022,Chhattisgarh,1153742,696,1139010,14036
960,27-06-2022,Dadra and Nagar Haveli and Daman and Diu,11462,9,11449,4
961,27-06-2022,Delhi,1931398,4939,1900206,26253
962,27-06-2022,Goa,248041,928,243278,3835
963,27-06-2022,Gujarat,1230128,2463,1216719,10946
964,27-06-2022,Haryana,1013994,3089,1000283,10622
965,27-06-2022,Himachal Pradesh,285742,319,281282,4141
966,27-06-2022,Jammu and Kashmir,454798,321,449721,4756
967,27-06-2022,Jharkhand,435729,232,430177,5320
968,27-06-2022,Karnataka,3964835,4438,3920283,40114
969,27-06-2022,Kerala,6624064,27772,6526341,69951
970,27-06-2022,Ladakh,28362,49,28085,228
971,27-06-2022,Lakshadweep,11407,4,11351,52
972,27-06-2022,Madhya Pradesh,1044007,462,1032805,10740
973,27-06-2022,Maharashtra,7962666,24608,7790153,147905
974,27-06-2022,Manipur,137255,11,135124,2120
975,27-06-2022,Meghalaya,93905,29,92282,1594
976,27-06-2022,Mizoram,228904,171,228031,702
977,27-06-2022,Nagaland,35506,3,34742,761
978,27-06-2022,Odisha,1289259,440,1279693,9126
979,27-06-2022,Puducherry,166305,238,164105,1962
980,27-06-2022,Punjab,762209,908,743535,17766
981,27-06-2022,Rajasthan,1287957,858,1277536,9563
982,27-06-2022,Sikkim,39205,14,38738,453
983,27-06-2022,Tamil Nadu,3468344,7458,3422860,38026
984,27-06-2022,Telangana,799055,3762,791182,4111
985,27-06-2022,Tripura,100895,5,99967,923
986,27-06-2022,Uttar Pradesh,2088536,3653,2061350,23533
987,27-06-2022,Uttarakhand,438527,702,430130,7695
988,27-06-2022,West Bengal,2024972,3777,1999979,21216
989,27-06-2022,World,540923532,,,6325785
990,28-06-2022,India,43418839,96700,42797092,525047
991,28-06-2022,Andaman and Nicobar Islands,10137,35,9973,129
992,28-06-2022,Andhra Pradesh,2321035,585,2305719,14731
993,28-06-2022,Arunachal Pradesh,64517,5,64216,296
994,28-06-2022,Assam,724647,306,716353,7988
995,28-06-2022,Bihar,832192,775,819160,12257
996,28-06-2022,Chandigarh,93604,502,91937,1165
997,28-06-2022,Chhattisgarh,1153867,757,1139074,14036
998,28-06-2022,Dadra and Nagar Haveli and Daman and Diu,11467,13,11450,4
999,28-06-2022,Delhi,1932026,4553,1901217,26256
1000,28-06-2022,Goa,248171,923,243413,3835
1001,28-06-2022,Gujarat,1230479,2566,1216967,10946
1002,28-06-2022,Haryana,1014444,2876,1000946,10622
1003,28-06-2022,Himachal Pradesh,285836,367,281328,4141
1004,28-06-2022,Jammu and Kashmir,454865,359,449750,4756
1005,28-06-2022,Jharkhand,435761,257,430184,5320
1006,28-06-2022,Karnataka,3965452,4288,3921050,40114
1007,28-06-2022,Kerala,6627270,27919,6529387,69964
1008,28-06-2022,Ladakh,28376,59,28089,228
1009,28-06-2022,Lakshadweep,11407,2,11353,52
1010,28-06-2022,Madhya Pradesh,1044081,465,1032875,10741
1011,28-06-2022,Maharashtra,7965035,25570,7791555,147910
1012,28-06-2022,Manipur,137258,14,135124,2120
1013,28-06-2022,Meghalaya,93913,37,92282,1594
1014,28-06-2022,Mizoram,228945,188,228054,703
1015,28-06-2022,Nagaland,35507,3,34743,761
1016,28-06-2022,Odisha,1289328,457,1279745,9126
1017,28-06-2022,Puducherry,166314,234,164118,1962
1018,28-06-2022,Punjab,762338,921,743648,17769
1019,28-06-2022,Rajasthan,1288054,880,1277611,9563
1020,28-06-2022,Sikkim,39210,18,38739,453
1021,28-06-2022,Tamil Nadu,3469805,8222,3423557,38026
1022,28-06-2022,Telangana,799532,3960,791461,4111
1023,28-06-2022,Tripura,100899,9,99967,923
1024,28-06-2022,Uttar Pradesh,2088985,3767,2061685,23533
1025,28-06-2022,Uttarakhand,438559,728,430135,7696
1026,28-06-2022,West Bengal,2025523,4080,2000227,21216
1027,28-06-2022,World,542621350,,,6330242
1028,29-06-2022,India,43433345,99585,42808666,525094
1029,29-06-2022,Andaman and Nicobar Islands,10149,38,9982,129
1030,29-06-2022,Andhra Pradesh,2321207,658,2305818,14731
1031,29-06-2022,Arunachal Pradesh,64518,6,64216,296
1032,29-06-2022,Assam,724715,362,716365,7988
1033,29-06-2022,Bihar,832403,886,819258,12259
1034,29-06-2022,Chandigarh,93700,519,92016,1165
1035,29-06-2022,Chhattisgarh,1154053,851,1139166,14036
1036,29-06-2022,Dadra and Nagar Haveli and Daman and Diu,11470,15,11451,4
1037,29-06-2022,Delhi,1932900,4482,1902158,26260
1038,29-06-2022,Goa,248339,932,243569,3838
1039,29-06-2022,Gujarat,1230954,2793,1217215,10946
1040,29-06-2022,Haryana,1014881,2649,1001610,10622
1041,29-06-2022,Himachal Pradesh,285956,441,281374,4141
1042,29-06-2022,Jammu and Kashmir,454933,405,449772,4756
1043,29-06-2022,Jharkhand,435814,279,430215,5320
1044,29-06-2022,Karnataka,3966420,4918,3921387,40115
1045,29-06-2022,Kerala,6630263,28069,6532201,69993
1046,29-06-2022,Ladakh,28389,67,28094,228
1047,29-06-2022,Lakshadweep,11407,2,11353,52
1048,29-06-2022,Madhya Pradesh,1044150,454,1032955,10741
1049,29-06-2022,Maharashtra,7968517,25481,7795121,147915
1050,29-06-2022,Manipur,137260,16,135124,2120
1051,29-06-2022,Meghalaya,93919,41,92284,1594
1052,29-06-2022,Mizoram,229009,231,228075,703
1053,29-06-2022,Nagaland,35507,3,34743,761
1054,29-06-2022,Odisha,1289441,521,1279794,9126
1055,29-06-2022,Puducherry,166358,247,164149,1962
1056,29-06-2022,Punjab,762532,984,743778,17770
1057,29-06-2022,Rajasthan,1288188,904,1277720,9564
1058,29-06-2022,Sikkim,39218,23,38742,453
1059,29-06-2022,Tamil Nadu,3471289,8970,3424293,38026
1060,29-06-2022,Telangana,799991,4172,791708,4111
1061,29-06-2022,Tripura,100899,5,99971,923
1062,29-06-2022,Uttar Pradesh,2089504,3634,2062336,23534
1063,29-06-2022,Uttarakhand,438615,768,430151,7696
1064,29-06-2022,West Bengal,2026477,4759,2000502,21216
1065,29-06-2022,World,543508803,,,6331596
1066,30-06-2022,India,43452164,104555,42822493,525116
1067,30-06-2022,Andaman and Nicobar Islands,10157,42,9986,129
1068,30-06-2022,Andhra Pradesh,2321379,755,2305893,14731
1069,30-06-2022,Arunachal Pradesh,64518,4,64218,296
1070,30-06-2022,Assam,724788,395,716405,7988
1071,30-06-2022,Bihar,832581,934,819388,12259
1072,30-06-2022,Chandigarh,93785,568,92052,1165
1073,30-06-2022,Chhattisgarh,1154179,861,1139282,14036
1074,30-06-2022,Dadra and Nagar Haveli and Daman and Diu,11474,14,11456,4
1075,30-06-2022,Delhi,1934009,4325,1903423,26261
1076,30-06-2022,Goa,248540,982,243720,3838
1077,30-06-2022,Gujarat,1231483,2914,1217623,10946
1078,30-06-2022,Haryana,1015501,2655,1002222,10624
1079,30-06-2022,Himachal Pradesh,286061,507,281413,4141
1080,30-06-2022,Jammu and Kashmir,455006,447,449803,4756
1081,30-06-2022,Jharkhand,435858,284,430254,5320
1082,30-06-2022,Karnataka,3968365,5707,3922541,40117
1083,30-06-2022,Kerala,6634722,28860,6535869,69993
1084,30-06-2022,Ladakh,28411,78,28105,228
1085,30-06-2022,Lakshadweep,11408,3,11353,52
1086,30-06-2022,Madhya Pradesh,1044243,490,1033012,10741
1087,30-06-2022,Maharashtra,7972474,25735,7798817,147922
1088,30-06-2022,Manipur,137266,18,135128,2120
1089,30-06-2022,Meghalaya,93947,65,92288,1594
1090,30-06-2022,Mizoram,229048,261,228084,703
1091,30-06-2022,Nagaland,35507,2,34744,761
1092,30-06-2022,Odisha,1289602,627,1279849,9126
1093,30-06-2022,Puducherry,166438,304,164172,1962
1094,30-06-2022,Punjab,762755,1079,743903,17773
1095,30-06-2022,Rajasthan,1288328,939,1277825,9564
1096,30-06-2022,Sikkim,39224,26,38744,454
1097,30-06-2022,Tamil Nadu,3473116,10033,3425057,38026
1098,30-06-2022,Telangana,800476,4421,791944,4111
1099,30-06-2022,Tripura,100901,7,99971,923
1100,30-06-2022,Uttar Pradesh,2090050,3541,2062971,23538
1101,30-06-2022,Uttarakhand,438663,787,430180,7696
1102,30-06-2022,West Bengal,2027901,5885,2000798,21218
1103,30-06-2022,World,544396927,,,6333228
